t ω_g β v_dc err_v i_f_ref_d v_w m_m_ref
29.2 1.67758 0 5400.46 -0.455314 725.453 10.3177 -794676
29.3 1.6837 0 5401.78 -1.78247 728.158 11.8466 -795876
29.4 1.68745 0 5404.61 -4.61267 735.413 11.1284 -801691
29.5 1.68908 0 5402 -2.00355 740.192 10.4837 -805272
29.6 1.69256 0 5401.1 -1.0995 742.59 11.0692 -806828
29.7 1.69049 0 5401.93 -1.93091 745.777 9.33484 -810155
29.8 1.68892 0 5397.83 2.16817 743.541 9.48895 -808175
29.9 1.68988 0 5399.32 0.678584 741.665 10.282 -806677
30 1.69344 0 5401.46 -1.45966 743.434 11.0965 -807595
30.1 1.68871 0 5401.65 -1.6501 746.378 8.42521 -810993
30.2 1.68811 0 5396.07 3.92992 741.541 9.79184 -806470
30.3 1.68508 0 5399.79 0.207418 739.582 8.99667 -805901
30.4 1.68791 0 5398.44 1.56138 737.294 10.8455 -803010
30.5 1.69162 0 5402.91 -2.91471 740.739 11.1348 -805708
30.6 1.69501 0 5402.73 -2.72648 745.816 11.0546 -809251
30.7 1.6996 0 5402.51 -2.51005 750.509 11.4558 -812498
30.8 1.69712 0 5402.41 -2.40593 754.963 9.22974 -816911
30.9 1.7001 0 5398.04 1.96428 753.216 10.954 -814528
31 1.69982 0 5402.42 -2.41864 755.791 9.94328 -817391
31.1 1.7022 0 5399.78 0.221775 756.504 10.7784 -817121
31.2 1.70811 0 5402.57 -2.57342 760.036 11.9238 -819408
31.3 1.70483 0 5403.42 -3.415 765.939 8.99833 -825107
31.4 1.70793 0 5397.25 2.74899 763.513 11.0318 -821942
31.5 1.70225 0 5401.81 -1.81449 764.904 8.13072 -824934
31.6 1.70618 0 5396.16 3.8439 760.258 11.2812 -819457
31.7 1.70475 0 5403.35 -3.35208 763.351 9.60398 -823244
31.8 1.70145 0 5397.98 2.01822 761.928 8.97441 -821868
31.9 1.69918 0 5397.44 2.56207 757.463 9.30988 -818682
32 1.69615 0 5398.46 1.53916 754.208 9.04239 -816506
32.1 1.69913 0 5398.63 1.37461 751.618 10.9498 -813591
32.2 1.70403 0 5403.27 -3.26797 755.64 11.5774 -816455
32.3 1.70169 0 5402.72 -2.71891 760.857 9.2964 -821175
32.4 1.70759 0 5398.48 1.52385 759.862 11.9164 -818923
32.5 1.70429 0 5404.04 -4.04465 764.915 8.98838 -824606
32.6 1.70562 0 5397.04 2.9568 762.464 10.4724 -821420
32.7 1.70178 0 5400.79 -0.787485 762.32 8.7947 -822707
32.8 1.70135 0 5397.08 2.92212 758.536 9.90295 -819008
32.9 1.69881 0 5399.82 0.178748 757.046 9.2161 -818592
33 1.70106 0 5398.63 1.36913 755.041 10.7357 -816144
33.1 1.7045 0 5402.45 -2.45388 757.918 11.1176 -818316
33.2 1.69982 0 5401.44 -1.43572 760.981 8.49076 -821622
33.3 1.70505 0 5396.93 3.07162 757.262 11.6869 -817117
33.4 1.71039 0 5405.2 -5.20051 763.287 11.7545 -822153
33.5 1.70452 0 5402.24 -2.24427 768.654 8.06569 -827314
33.6 1.70364 0 5394.82 5.18089 762.306 9.77344 -821643
33.7 1.70645 0 5400.66 -0.658721 761.037 10.9346 -820798
33.8 1.70826 0 5402.48 -2.48227 764.814 10.6313 -823510
33.9 1.70648 0 5400.57 -0.568851 766.668 9.49839 -825253
34 1.70099 0 5397.62 2.38081 763.555 8.19679 -823535
34.1 1.70024 0 5396.25 3.75367 757.256 9.79776 -818244
34.2 1.69792 0 5399.93 0.0692902 755.567 9.28732 -817521
34.3 1.70087 0 5398.92 1.07683 754.021 10.9472 -815296
34.4 1.70131 0 5402.45 -2.45126 757.018 10.1761 -818127
34.5 1.70532 0 5400.51 -0.510723 758.777 11.3008 -818554
34.6 1.70858 0 5403.25 -3.24783 763.57 11.0853 -822413
34.7 1.71456 0 5402.69 -2.68682 768.732 11.987 -825561
34.8 1.7109 0 5403.25 -3.25326 774.455 8.89391 -831353
34.9 1.71462 0 5397.07 2.93139 771.704 11.2626 -827803
35 1.70941 0 5402.41 -2.40564 773.851 8.33732 -831410
35.1 1.70516 0 5395.13 4.8665 768.014 8.66903 -826362
